id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
848,Intel Xeon Platinum 8380HL,5/1/2020,28,56,,2900,4300,39424,4831838208,
849,Intel Xeon Platinum 8376HL,5/1/2020,28,56,,2600,4300,39424,4831838208,
850,Intel Atom C3436L,5/1/2020,4,4,,1300,,8192,268435456,86
851,Intel Atom C3558R,5/1/2020,4,4,,2400,,8192,268435456,82
852,Intel Atom C3758R,5/1/2020,8,8,,2400,,16384,268435456,82
853,Intel Pentium Gold G6500T,5/1/2020,2,4,8,3500,,4096,134217728,100
854,Intel Pentium Gold G6600,5/1/2020,2,4,8,4200,,4096,134217728,100
855,Intel Pentium Gold G6500,5/1/2020,2,4,8,4100,,4096,134217728,100
856,Intel Pentium Gold G6400,5/1/2020,2,4,8,4000,,4096,134217728,100
857,Intel Pentium Gold G6400T,5/1/2020,2,4,8,3400,,4096,134217728,100
858,Intel Pentium Gold G6400TE,5/1/2020,2,4,8,3200,,4096,134217728,100
859,Intel Pentium Gold G6400E,5/1/2020,2,4,8,3800,,4096,134217728,100
860,Intel Core i7-1060NG7,5/1/2020,4,8,4,1200,3800,8192,33554432,100
861,Intel Core i7-10875H,5/1/2020,8,16,8,2300,5100,16384,134217728,100
862,Intel Core i7-10750H,5/1/2020,6,12,8,2600,5000,12288,134217728,100
863,Intel Core i7-10850H,5/1/2020,6,12,8,2700,5100,12288,134217728,100
864,Intel Core i7-10700TE,5/1/2020,8,16,8,2000,4400,16384,134217728,100
865,Intel Core i7-10700T,5/1/2020,8,16,8,2000,4500,16384,134217728,100
866,Intel Core i7-10700,5/1/2020,8,16,8,2900,4800,16384,134217728,100
867,Intel Core i7-10700F,5/1/2020,8,16,8,2900,4800,16384,134217728,100
868,Intel Core i7-10700E,5/1/2020,8,16,8,2900,4500,16384,134217728,100
869,Intel Core i7-10700KF,5/1/2020,8,16,8,3800,5100,16384,134217728,100
870,Intel Core i7-10700K,5/1/2020,8,16,8,3800,5100,16384,134217728,100
871,Intel Core i7-1068NG7,5/1/2020,4,8,4,2300,4100,8192,67108864,100
872,Intel Core i7-10810U,5/1/2020,6,12,4,1100,4900,12288,67108864,100
873,Intel Core i7-10610U,5/1/2020,4,8,4,1800,4900,8192,67108864,100
874,Intel Celeron G5900,5/1/2020,2,2,8,3400,,2048,134217728,100
875,Intel Celeron G5900T,5/1/2020,2,2,8,3200,,2048,134217728,100
876,Intel Celeron G5920,5/1/2020,2,2,8,3500,,2048,134217728,100
877,Intel Celeron G5900TE,5/1/2020,2,2,8,3000,,2048,134217728,100
878,Intel Celeron G5900E,5/1/2020,2,2,8,3200,,2048,134217728,100
879,Intel Core i5-10600KF,5/1/2020,6,12,8,4100,4800,12288,134217728,100
880,Intel Core i5-10600K,5/1/2020,6,12,8,4100,4800,12288,134217728,100
881,Intel Core i5-10400F,5/1/2020,6,12,8,2900,4300,12288,134217728,100
882,Intel Core i5-10500,5/1/2020,6,12,8,3100,4500,12288,134217728,100
883,Intel Core i5-10400T,5/1/2020,6,12,8,2000,3600,12288,134217728,100
